Vertex Id	Closeness centrality as fraction	Closeness centrality
49313	51931/271096	0,19156
49314	51931/318865	0,16286
49315	51931/312528	0,16616
49316	51931/271103	0,19155
49317	51931/271105	0,19155
49318	51931/271147	0,19152
49319	51931/271103	0,19155
49320	51931/271116	0,19155
49321	51931/312551	0,16615
49322	51931/271131	0,19153
49323	51931/271106	0,19155
49324	51931/271155	0,19152
49325	51931/312529	0,16616
49326	51931/271154	0,19152
49327	51931/271115	0,19155
49328	51931/312527	0,16616
49329	51931/312528	0,16616
49330	51931/271102	0,19156
49331	51931/312817	0,16601
49332	51931/312528	0,16616
49333	51931/312551	0,16615
49334	51931/271113	0,19155
49335	51931/271131	0,19153
49336	51931/271103	0,19155
49337	51931/312529	0,16616
49338	51931/318864	0,16286
49339	51931/271194	0,19149
49340	51931/312642	0,16610
49341	51931/312619	0,16612
49342	51931/318879	0,16285
49343	51931/318834	0,16288
49344	51931/312619	0,16612
49345	51931/318876	0,16286
49346	51931/271103	0,19155
49347	51931/326651	0,15898
49348	51931/271105	0,19155
49349	51931/271155	0,19152
49350	51931/271131	0,19153
49351	51931/271118	0,19154
49352	51931/318908	0,16284
49353	51931/326740	0,15894
49354	51931/271147	0,19152
49355	51931/271155	0,19152
49356	51931/271150	0,19152
49357	51931/318871	0,16286
49358	51931/312528	0,16616
49359	51931/312844	0,16600
49360	51931/271209	0,19148
49361	51931/271103	0,19155
49362	51931/271105	0,19155
49363	51931/271105	0,19155
49364	51931/271103	0,19155
49365	51931/271112	0,19155
49366	51931/271209	0,19148
49367	51931/271153	0,19152
49368	51931/271107	0,19155
49369	51931/312549	0,16615
49370	51931/318879	0,16285
49371	51931/271133	0,19153
49372	51931/318879	0,16285
49373	51931/312549	0,16615
49374	51931/312528	0,16616
49375	51931/271225	0,19147
49376	51931/271096	0,19156
49377	51931/312550	0,16615
49378	51931/271113	0,19155
49379	51931/326737	0,15894
49380	51931/318872	0,16286
49381	51931/271097	0,19156
49382	51931/271117	0,19154
49383	51931/312529	0,16616
49384	51931/312551	0,16615
49385	51931/271113	0,19155
49386	51931/312642	0,16610
49387	51931/271310	0,19141
49388	51931/312642	0,16610
49389	51931/271132	0,19153
49390	51931/326737	0,15894
49391	51931/271192	0,19149
49392	51931/271197	0,19149
49393	51931/323055	0,16075
49394	51931/271105	0,19155
49395	51931/312616	0,16612
49396	51931/271103	0,19155
49397	51931/318834	0,16288
49398	51931/312616	0,16612
49399	51931/318834	0,16288
49400	51931/312616	0,16612
49401	51931/312527	0,16616
49402	51931/271117	0,19154
49403	51931/312621	0,16611
49404	51931/312563	0,16615
49405	51931/271097	0,19156
49406	51931/312648	0,16610
49407	51931/271131	0,19153
49408	51931/271154	0,19152
49409	51931/312563	0,16615
49410	51931/318835	0,16288
49411	51931/312551	0,16615
49412	51931/312621	0,16611
49413	51931/312551	0,16615
49414	51931/274815	0,18897
49415	51931/271111	0,19155
49416	51931/271176	0,19150
49417	51931/271110	0,19155
49418	51931/271108	0,19155
49419	51931/318983	0,16280
49420	51931/271092	0,19156
49421	51931/374882	0,13853
49422	51931/322728	0,16091
49423	51931/326714	0,15895
49424	51931/318889	0,16285
49425	51931/271180	0,19150
49426	51931/326701	0,15896
49427	51931/271311	0,19141
49428	51931/326621	0,15899
49429	51931/326687	0,15896
49430	51931/374790	0,13856
49431	51931/318819	0,16289
49432	51931/374571	0,13864
49433	51931/364153	0,14261
49434	51931/271103	0,19155
49435	51931/271167	0,19151
49436	51931/271124	0,19154
49437	51931/318990	0,16280
49438	51931/271109	0,19155
49439	51931/318845	0,16287
49440	51931/271130	0,19154
49441	51931/318853	0,16287
49442	51931/271135	0,19153
49443	51931/271172	0,19151
49444	51931/271186	0,19150
49445	51931/318971	0,16281
49446	51931/271129	0,19154
49447	51931/271173	0,19151
49448	51931/318975	0,16281
49449	51931/271098	0,19156
49450	51931/271107	0,19155
49451	51931/271122	0,19154
49452	51931/318993	0,16280
49453	51931/318821	0,16288
49454	51931/271128	0,19154
49455	51931/271108	0,19155
49456	51931/271095	0,19156
49457	51931/271117	0,19154
49458	51931/271180	0,19150
49459	51931/271300	0,19142
49460	51931/271176	0,19150
49461	51931/322725	0,16091
49462	51931/271106	0,19155
49463	51931/318852	0,16287
49464	51931/271133	0,19153
49465	51931/318824	0,16288
49466	51931/326644	0,15898
49467	51931/271125	0,19154
49468	51931/318977	0,16280
49469	51931/271286	0,19143
49470	51931/271114	0,19155
49471	51931/271182	0,19150
49472	51931/318823	0,16288
49473	51931/322952	0,16080
49474	51931/323106	0,16072
49476	51931/323038	0,16076
49478	51931/322914	0,16082
49482	51931/323037	0,16076
49484	51931/323038	0,16076
49487	51931/323112	0,16072
49488	51931/322931	0,16081
49491	51931/323038	0,16076
49492	51931/378551	0,13718
49493	51931/322929	0,16081
49495	51931/323102	0,16073
49496	51931/323059	0,16075
49497	51931/323037	0,16076
49500	51931/323025	0,16076
49501	51931/323055	0,16075
49503	51931/322907	0,16082
49508	51931/322912	0,16082
49509	51931/323065	0,16074
49510	51931/323102	0,16073
49511	51931/323059	0,16075
49514	51931/323038	0,16076
49515	51931/323025	0,16076
49518	51931/271125	0,19154
49519	51931/271291	0,19142
49520	51931/318850	0,16287
49521	51931/271275	0,19143
49522	51931/271145	0,19152
49523	51931/271137	0,19153
49524	51931/271101	0,19156
49525	51931/271141	0,19153
49526	51931/318949	0,16282
49527	51931/271182	0,19150
49528	51931/318857	0,16287
49529	51931/271173	0,19151
49530	51931/271111	0,19155
49531	51931/312653	0,16610
49532	51931/271125	0,19154
49533	51931/318846	0,16287
49534	51931/322743	0,16091
49535	51931/271182	0,19150
49536	51931/318914	0,16284
49537	51931/312561	0,16615
49538	51931/271132	0,19153
49539	51931/318893	0,16285
49540	51931/271093	0,19156
49541	51931/271126	0,19154
49542	51931/314841	0,16494
49543	51931/271174	0,19150
49544	51931/312562	0,16615
49545	51931/271185	0,19150
49546	51931/271116	0,19155
49547	51931/271288	0,19142
49548	51931/271105	0,19155
49549	51931/271103	0,19155
49550	51931/271129	0,19154
49551	51931/271146	0,19152
49552	51931/271133	0,19153
49553	51931/318867	0,16286
49554	51931/270871	0,19172
49555	51931/271117	0,19154
49556	51931/271174	0,19150
49557	51931/271115	0,19155
49558	51931/271110	0,19155
49559	51931/271116	0,19155
49560	51931/314601	0,16507
49561	51931/271134	0,19153
49562	51931/271108	0,19155
49563	51931/271180	0,19150
49564	51931/312563	0,16615
49565	51931/318895	0,16285
49566	51931/271133	0,19153
49567	51931/271125	0,19154
49568	51931/271145	0,19152
49569	51931/271107	0,19155
49570	51931/271102	0,19156
49571	51931/271188	0,19149
49572	51931/271109	0,19155
49573	51931/271104	0,19155
49574	51931/271147	0,19152
49575	51931/363687	0,14279
49576	51931/296104	0,17538
62987	51931/278868	0,18622
63335	51931/233120	0,22277
63336	51931/277266	0,18730
63337	51931/271179	0,19150
63338	51931/269654	0,19258
63339	51931/272623	0,19049
63340	51931/269880	0,19242
63341	51931/278348	0,18657
63342	51931/271246	0,19145
63343	51931/277568	0,18709
63344	51931/277399	0,18721
63345	51931/270057	0,19230
63346	51931/269996	0,19234
63347	51931/271413	0,19134
63348	51931/269961	0,19236
63349	51931/272583	0,19051
63350	51931/271016	0,19162
63351	51931/269700	0,19255
63352	51931/268987	0,19306
63353	51931/271664	0,19116
63354	51931/269963	0,19236
63355	51931/269974	0,19236
63356	51931/269880	0,19242
63357	51931/278604	0,18640
63358	51931/270909	0,19169
63359	51931/269933	0,19238
63360	51931/271313	0,19141
63361	51931/284356	0,18263
63362	51931/269889	0,19242
63363	51931/321318	0,16162
63364	51931/269950	0,19237
63365	51931/271983	0,19093
63366	51931/270116	0,19225
63367	51931/269947	0,19237
63368	51931/269939	0,19238
63369	51931/269878	0,19242
63370	51931/269944	0,19238
63371	51931/270108	0,19226
63372	51931/270000	0,19234
63373	51931/269957	0,19237
63374	51931/277760	0,18696
63375	51931/269967	0,19236
63376	51931/277835	0,18691
63377	51931/270021	0,19232
63378	51931/278052	0,18677
63379	51931/271473	0,19129
63380	51931/269982	0,19235
63381	51931/271468	0,19130
63382	51931/278036	0,18678
63383	51931/277411	0,18720
63384	51931/278033	0,18678
63385	51931/271954	0,19096
63386	51931/277565	0,18709
63387	51931/270012	0,19233
63388	51931/271483	0,19129
63389	51931/271335	0,19139
63390	51931/269929	0,19239
63391	51931/269932	0,19239
63392	51931/278077	0,18675
63393	51931/271982	0,19094
63394	51931/270011	0,19233
63395	51931/270002	0,19234
63396	51931/271455	0,19131
63397	51931/270055	0,19230
63398	51931/278100	0,18673
63399	51931/277835	0,18691
63400	51931/278043	0,18677
63401	51931/269880	0,19242
63402	51931/277827	0,18692
63403	51931/277566	0,18709
63404	51931/270035	0,19231
63405	51931/271292	0,19142
63406	51931/271171	0,19151
63407	51931/277780	0,18695
63408	51931/270137	0,19224
63409	51931/271189	0,19149
63410	51931/278181	0,18668
63411	51931/270373	0,19207
63412	51931/271492	0,19128
63413	51931/269988	0,19235
63414	51931/277573	0,18709
63415	51931/269932	0,19239
63416	51931/269886	0,19242
63417	51931/271485	0,19128
63418	51931/270010	0,19233
63419	51931/269877	0,19242
63420	51931/271486	0,19128
63421	51931/271298	0,19142
63422	51931/270003	0,19233
63423	51931/271322	0,19140
63424	51931/277803	0,18693
63425	51931/277601	0,18707
63426	51931/269887	0,19242
63427	51931/271478	0,19129
63428	51931/269895	0,19241
63429	51931/277580	0,18708
63430	51931/269949	0,19237
63431	51931/272195	0,19079
63432	51931/271812	0,19105
63433	51931/271315	0,19140
63434	51931/271659	0,19116
63435	51931/269932	0,19239
63436	51931/269947	0,19237
63437	51931/269995	0,19234
63438	51931/277579	0,18709
63439	51931/271480	0,19129
63440	51931/277414	0,18720
63441	51931/269979	0,19235
63442	51931/271319	0,19140
63443	51931/284310	0,18266
63444	51931/269984	0,19235
63445	51931/271080	0,19157
63446	51931/271172	0,19151
63447	51931/270026	0,19232
63448	51931/271489	0,19128
63449	51931/277613	0,18706
63450	51931/284279	0,18268
63451	51931/277902	0,18687
63452	51931/277411	0,18720
63453	51931/270031	0,19231
63454	51931/271807	0,19106
63455	51931/270929	0,19168
63456	51931/270903	0,19170
63457	51931/278287	0,18661
63458	51931/269977	0,19235
63459	51931/272234	0,19076
63460	51931/277844	0,18691
63461	51931/270127	0,19225
63462	51931/269916	0,19240
63463	51931/271167	0,19151
63464	51931/269979	0,19235
63465	51931/271478	0,19129
63466	51931/270070	0,19229
63467	51931/271994	0,19093
63468	51931/277403	0,18720
63469	51931/271496	0,19128
63470	51931/269884	0,19242
63471	51931/271477	0,19129
63472	51931/269929	0,19239
63473	51931/277406	0,18720
63474	51931/269877	0,19242
63475	51931/271487	0,19128
63476	51931/271693	0,19114
63477	51931/269953	0,19237
63478	51931/277399	0,18721
63479	51931/270004	0,19233
63480	51931/271165	0,19151
63481	51931/270891	0,19170
63482	51931/271163	0,19151
63483	51931/277849	0,18690
63484	51931/269933	0,19238
63485	51931/277581	0,18708
63486	51931/270021	0,19232
63487	51931/277573	0,18709
63488	51931/270000	0,19234
63489	51931/271170	0,19151
63490	51931/270140	0,19224
63491	51931/269929	0,19239
63492	51931/270052	0,19230
63493	51931/271166	0,19151
63494	51931/269948	0,19237
63495	51931/269921	0,19239
63496	51931/269875	0,19243
63497	51931/270120	0,19225
63498	51931/269953	0,19237
63499	51931/270050	0,19230
63500	51931/277568	0,18709
63501	51931/277867	0,18689
63502	51931/277609	0,18707
63503	51931/277587	0,18708
63504	51931/271313	0,19141
63505	51931/270044	0,19231
63506	51931/284164	0,18275
63507	51931/277903	0,18687
63508	51931/277829	0,18692
63509	51931/270180	0,19221
63510	51931/277598	0,18707
63511	51931/270034	0,19231
63512	51931/322551	0,16100
63513	51931/270227	0,19218
63514	51931/272014	0,19091
63515	51931/269992	0,19234
63516	51931/271298	0,19142
63517	51931/269889	0,19242
63518	51931/277587	0,18708
63519	51931/322672	0,16094
63520	51931/278077	0,18675
63521	51931/271472	0,19129
63522	51931/269994	0,19234
63523	51931/269878	0,19242
63524	51931/284148	0,18276
63525	51931/270116	0,19225
63526	51931/277774	0,18695
63527	51931/269967	0,19236
63528	51931/271693	0,19114
63529	51931/277411	0,18720
63530	51931/271493	0,19128
63531	51931/271674	0,19115
63532	51931/270139	0,19224
63533	51931/269951	0,19237
63534	51931/269918	0,19240
63535	51931/269877	0,19242
63536	51931/271319	0,19140
63537	51931/270028	0,19232
63538	51931/271541	0,19125
63539	51931/269968	0,19236
63540	51931/277774	0,18695
63541	51931/270048	0,19230
63542	51931/269900	0,19241
63543	51931/270887	0,19171
63544	51931/278541	0,18644
63545	51931/277562	0,18710
63546	51931/270007	0,19233
63547	51931/270050	0,19230
63548	51931/271337	0,19139
63549	51931/271316	0,19140
63550	51931/271319	0,19140
63551	51931/278111	0,18673
63552	51931/320769	0,16190
63553	51931/270150	0,19223
63554	51931/278115	0,18672
63555	51931/271517	0,19126
63556	51931/270225	0,19218
63557	51931/277757	0,18697
63558	51931/277829	0,18692
63559	51931/269964	0,19236
63560	51931/269885	0,19242
63561	51931/269941	0,19238
63562	51931/270140	0,19224
63563	51931/271468	0,19130
63564	51931/269960	0,19237
63565	51931/278291	0,18661
63566	51931/270115	0,19226
63567	51931/270075	0,19228
63568	51931/321249	0,16165
63569	51931/270121	0,19225
63570	51931/269959	0,19237
63571	51931/277832	0,18692
63572	51931/277571	0,18709
63573	51931/277763	0,18696
63574	51931/271165	0,19151
63575	51931/321246	0,16165
63576	51931/269950	0,19237
63577	51931/277576	0,18709
63578	51931/269890	0,19242
63579	51931/269879	0,19242
63580	51931/270048	0,19230
63581	51931/269942	0,19238
63582	51931/271679	0,19115
63583	51931/270001	0,19234
63584	51931/271163	0,19151
63585	51931/271323	0,19140
63586	51931/271074	0,19157
63587	51931/271955	0,19095
63588	51931/269965	0,19236
63589	51931/277421	0,18719
63590	51931/271172	0,19151
63591	51931/277407	0,18720
63592	51931/272197	0,19078
63593	51931/270018	0,19232
63594	51931/271293	0,19142
63595	51931/269875	0,19243
63596	51931/270011	0,19233
63597	51931/271467	0,19130
63598	51931/269888	0,19242
63599	51931/270897	0,19170
63600	51931/271159	0,19151
63601	51931/272029	0,19090
63602	51931/271845	0,19103
63603	51931/321257	0,16165
63604	51931/270029	0,19232
63605	51931/270130	0,19224
63606	51931/269921	0,19239
63607	51931/269928	0,19239
63608	51931/277847	0,18691
63609	51931/271828	0,19104
63610	51931/278450	0,18650
63611	51931/270232	0,19217
63612	51931/271660	0,19116
63613	51931/270131	0,19224
63614	51931/269962	0,19236
63615	51931/270113	0,19226
63616	51931/269948	0,19237
63617	51931/269934	0,19238
63618	51931/277770	0,18696
63619	51931/278310	0,18659
63620	51931/271314	0,19141
63621	51931/271832	0,19104
63622	51931/278029	0,18678
63623	51931/271663	0,19116
63624	51931/271315	0,19140
63625	51931/273416	0,18993
63626	51931/271410	0,19134
63627	51931/270008	0,19233
63628	51931/270028	0,19232
63629	51931/269874	0,19243
63630	51931/271487	0,19128
63631	51931/284170	0,18275
63632	51931/271247	0,19145
63633	51931/269998	0,19234
63634	51931/270125	0,19225
63635	51931/271437	0,19132
63636	51931/277783	0,18695
63637	51931/270049	0,19230
63638	51931/277575	0,18709
63639	51931/269944	0,19238
63640	51931/271431	0,19132
63641	51931/270137	0,19224
63642	51931/277911	0,18686
63643	51931/269911	0,19240
63644	51931/269987	0,19235
63645	51931/283567	0,18313
63646	51931/271398	0,19135
63647	51931/270070	0,19229
63648	51931/270888	0,19171
63649	51931/269948	0,19237
63650	51931/269903	0,19241
63651	51931/271461	0,19130
63652	51931/270019	0,19232
63653	51931/269940	0,19238
63654	51931/271317	0,19140
63655	51931/277784	0,18695
63656	51931/271259	0,19144
63657	51931/267198	0,19435
63658	51931/270054	0,19230
63659	51931/319545	0,16252
63660	51931/279586	0,18574
63661	51931/277831	0,18692
63662	51931/269944	0,19238
63663	51931/269915	0,19240
63664	51931/271408	0,19134
63665	51931/271776	0,19108
63666	51931/271412	0,19134
63667	51931/271324	0,19140
63668	51931/271790	0,19107
63669	51931/269937	0,19238
63670	51931/271638	0,19118
63671	51931/269887	0,19242
63672	51931/271315	0,19140
63673	51931/271382	0,19136
63674	51931/271303	0,19141
63675	51931/271696	0,19114
63676	51931/269983	0,19235
63677	51931/271561	0,19123
63678	51931/277767	0,18696
63679	51931/277990	0,18681
63680	51931/277840	0,18691
63681	51931/271456	0,19131
63682	51931/269928	0,19239
63683	51931/269875	0,19243
63684	51931/271308	0,19141
63685	51931/261782	0,19837
63686	51931/271159	0,19151
63687	51931/271605	0,19120
63688	51931/321262	0,16165
63689	51931/273372	0,18996
63690	51931/271176	0,19150
63691	51931/269937	0,19238
63692	51931/270087	0,19228
63693	51931/270890	0,19171
63694	51931/271315	0,19140
63695	51931/271575	0,19122
63696	51931/269958	0,19237
63697	51931/269870	0,19243
63698	51931/320812	0,16187
63699	51931/277408	0,18720
63700	51931/271809	0,19106
63701	51931/320750	0,16190
63702	51931/278354	0,18656
63703	51931/271476	0,19129
63704	51931/277565	0,18709
63705	51931/269994	0,19234
63706	51931/270030	0,19232
63707	51931/271331	0,19139
63708	51931/271476	0,19129
63709	51931/271400	0,19134
63710	51931/269959	0,19237
63711	51931/270003	0,19233
63712	51931/269877	0,19242
63713	51931/271689	0,19114
63714	51931/269876	0,19243
63715	51931/271163	0,19151
63716	51931/269999	0,19234
63717	51931/270870	0,19172
63718	51931/271410	0,19134
63719	51931/271430	0,19132
63720	51931/270009	0,19233
63721	51931/271809	0,19106
63722	51931/271478	0,19129
63723	51931/269977	0,19235
63724	51931/271389	0,19135
63725	51931/270928	0,19168
63726	51931/270083	0,19228
63727	51931/277576	0,18709
63728	51931/271473	0,19129
63729	51931/269935	0,19238
63730	51931/270912	0,19169
63731	51931/269916	0,19240
63732	51931/277405	0,18720
63733	51931/271531	0,19125
63734	51931/271597	0,19121
63735	51931/270014	0,19233
63736	51931/271245	0,19145
63737	51931/269973	0,19236
63738	51931/271154	0,19152
63739	51931/271310	0,19141
63740	51931/271424	0,19133
63741	51931/269971	0,19236
63742	51931/270010	0,19233
63743	51931/270044	0,19231
63744	51931/269977	0,19235
63745	51931/271403	0,19134
63746	51931/271566	0,19123
63747	51931/270015	0,19233
63748	51931/270083	0,19228
63749	51931/270069	0,19229
63750	51931/271157	0,19152
63751	51931/271624	0,19119
63752	51931/270852	0,19173
63753	51931/277569	0,18709
63754	51931/271485	0,19128
63755	51931/269941	0,19238
63756	51931/269954	0,19237
63757	51931/271163	0,19151
63758	51931/269975	0,19235
63759	51931/269888	0,19242
63760	51931/270023	0,19232
63761	51931/271391	0,19135
63762	51931/271326	0,19140
63763	51931/271303	0,19141
63764	51931/271228	0,19147
63765	51931/271477	0,19129
63766	51931/278075	0,18675
63767	51931/271321	0,19140
63768	51931/260560	0,19931
63769	51931/270042	0,19231
63770	51931/271315	0,19140
63771	51931/271994	0,19093
63772	51931/270044	0,19231
63773	51931/319626	0,16247
63774	51931/271499	0,19128
63775	51931/269968	0,19236
63776	51931/271242	0,19146
63777	51931/277913	0,18686
63778	51931/270054	0,19230
63779	51931/269941	0,19238
63780	51931/278064	0,18676
63781	51931/272452	0,19061
63782	51931/322594	0,16098
63783	51931/277788	0,18694
63784	51931/271384	0,19136
63785	51931/277585	0,18708
63786	51931/270007	0,19233
63787	51931/269946	0,19238
63788	51931/271732	0,19111
63789	51931/269886	0,19242
63790	51931/270110	0,19226
63791	51931/270001	0,19234
63792	51931/271400	0,19134
63793	51931/270006	0,19233
63794	51931/270087	0,19228
63795	51931/271675	0,19115
63796	51931/277802	0,18694
63797	51931/277831	0,18692
63798	51931/270106	0,19226
63799	51931/270029	0,19232
63800	51931/271313	0,19141
63801	51931/271661	0,19116
63802	51931/284695	0,18241
63803	51931/270089	0,19227
63804	51931/270126	0,19225
63805	51931/271310	0,19141
63806	51931/269884	0,19242
63807	51931/279544	0,18577
63808	51931/270902	0,19170
63809	51931/270085	0,19228
63810	51931/269871	0,19243
63811	51931/269913	0,19240
63812	51931/270843	0,19174
63813	51931/269928	0,19239
63814	51931/277413	0,18720
63815	51931/269946	0,19238
63816	51931/271303	0,19141
63817	51931/278095	0,18674
63818	51931/277766	0,18696
63819	51931/277572	0,18709
63820	51931/269974	0,19236
63821	51931/319606	0,16248
63822	51931/269893	0,19241
63823	51931/279580	0,18575
63824	51931/269960	0,19237
63825	51931/269881	0,19242
63826	51931/284137	0,18277
63827	51931/270016	0,19233
63828	51931/269945	0,19238
63829	51931/279507	0,18579
63830	51931/272227	0,19076
63831	51931/277721	0,18699
63832	51931/319613	0,16248
63833	51931/269948	0,19237
63834	51931/270016	0,19233
63835	51931/271380	0,19136
63836	51931/269963	0,19236
63837	51931/270005	0,19233
63838	51931/271609	0,19120
63839	51931/271464	0,19130
63840	51931/271416	0,19133
63841	51931/271309	0,19141
63842	51931/271293	0,19142
63843	51931/271283	0,19143
63844	51931/271432	0,19132
63845	51931/271313	0,19141
63846	51931/277568	0,18709
63847	51931/271624	0,19119
63848	51931/271318	0,19140
63849	51931/271416	0,19133
63850	51931/270104	0,19226
63851	51931/271318	0,19140
63852	51931/270035	0,19231
63853	51931/269988	0,19235
63854	51931/279541	0,18577
63855	51931/270083	0,19228
63856	51931/320759	0,16190
63857	51931/271165	0,19151
63858	51931/270031	0,19231
63859	51931/271434	0,19132
63860	51931/271224	0,19147
63861	51931/269959	0,19237
63862	51931/269979	0,19235
63863	51931/269939	0,19238
63864	51931/270099	0,19227
63865	51931/277805	0,18693
63866	51931/271785	0,19107
63867	51931/284695	0,18241
63868	51931/271535	0,19125
63869	51931/271483	0,19129
63870	51931/271423	0,19133
63871	51931/270079	0,19228
63872	51931/321542	0,16151
63873	51931/269993	0,19234
63874	51931/270112	0,19226
63875	51931/271779	0,19108
63876	51931/271989	0,19093
63877	51931/269985	0,19235
63878	51931/270907	0,19169
63879	51931/277710	0,18700
63880	51931/269933	0,19238
63881	51931/269984	0,19235
63882	51931/269964	0,19236
63883	51931/321278	0,16164
63884	51931/271248	0,19145
63885	51931/269929	0,19239
63886	51931/277609	0,18707
63887	51931/269958	0,19237
63888	51931/277847	0,18691
63889	51931/269940	0,19238
63890	51931/269962	0,19236
63891	51931/277844	0,18691
63892	51931/271318	0,19140
63893	51931/271162	0,19151
63894	51931/270926	0,19168
63895	51931/270075	0,19228
63896	51931/270088	0,19227
63897	51931/271391	0,19135
63898	51931/273354	0,18998
63899	51931/226990	0,22878
63900	51931/218446	0,23773
63902	51931/256273	0,20264
63903	51931/222594	0,23330
63904	51931/222276	0,23363
63905	51931/251357	0,20660
63906	51931/269745	0,19252
63907	51931/270167	0,19222
63908	51931/268938	0,19310
63909	51931/256180	0,20271
63910	51931/268286	0,19357
63911	51931/268329	0,19353
63912	51931/271024	0,19161
63913	51931/269076	0,19300
63914	51931/269941	0,19238
63915	51931/269542	0,19266
63916	51931/269246	0,19288
63917	51931/259506	0,20011
63918	51931/268914	0,19311
63919	51931/271613	0,19119
63920	51931/272121	0,19084
63921	51931/268426	0,19346
63922	51931/269163	0,19294
63923	51931/269655	0,19258
63924	51931/271877	0,19101
63925	51931/271524	0,19126
63926	51931/270759	0,19180
63927	51931/269117	0,19297
63928	51931/270880	0,19171
63929	51931/270751	0,19180
63930	51931/268222	0,19361
63931	51931/268275	0,19357
63932	51931/268736	0,19324
63933	51931/269167	0,19293
63934	51931/220569	0,23544
63935	51931/260068	0,19968
63936	51931/222041	0,23388
63937	51931/271189	0,19149
63938	51931/269004	0,19305
63939	51931/269365	0,19279
63940	51931/268239	0,19360
63941	51931/269517	0,19268
63942	51931/271213	0,19148
63943	51931/270971	0,19165
63944	51931/268456	0,19344
63945	51931/269806	0,19248
63946	51931/268795	0,19320
63947	51931/271132	0,19153
63948	51931/269502	0,19269
63949	51931/270950	0,19166
63950	51931/269120	0,19297
63951	51931/268929	0,19310
63952	51931/269497	0,19270
63953	51931/268219	0,19361
63954	51931/219730	0,23634
63955	51931/271273	0,19143
63956	51931/256882	0,20216
63957	51931/268373	0,19350
63958	51931/268349	0,19352
63959	51931/268796	0,19320
63960	51931/268282	0,19357
63961	51931/269420	0,19275
63962	51931/270775	0,19179
63963	51931/271543	0,19124
63964	51931/269181	0,19292
63965	51931/269412	0,19276
63966	51931/268734	0,19324
63967	51931/271187	0,19150
63968	51931/268255	0,19359
63969	51931/268334	0,19353
63970	51931/268905	0,19312
63971	51931/270941	0,19167
63972	51931/270848	0,19173
63973	51931/268463	0,19344
63974	51931/268355	0,19352
63975	51931/268935	0,19310
63976	51931/188081	0,27611
63977	51931/268219	0,19361
63978	51931/269568	0,19265
63979	51931/269956	0,19237
63980	51931/269496	0,19270
63981	51931/268375	0,19350
63982	51931/271168	0,19151
63983	51931/268972	0,19307
63984	51931/268752	0,19323
63985	51931/269221	0,19289
63986	51931/268372	0,19350
63987	51931/269590	0,19263
63988	51931/269572	0,19264
63989	51931/268376	0,19350
63990	51931/268801	0,19319
63991	51931/268514	0,19340
63992	51931/268371	0,19350
63993	51931/269235	0,19288
63994	51931/271174	0,19150
63995	51931/268381	0,19350
63996	51931/268739	0,19324
63997	51931/271268	0,19144
63998	51931/194142	0,26749
63999	51931/196036	0,26491
64000	51931/234240	0,22170
64001	51931/268368	0,19351
64002	51931/268208	0,19362
64003	51931/270842	0,19174
64004	51931/271552	0,19124
64005	51931/270736	0,19181
64006	51931/268800	0,19320
64007	51931/269571	0,19264
64008	51931/268929	0,19310
64009	51931/271191	0,19149
64010	51931/271242	0,19146
64011	51931/272524	0,19056
64012	51931/269588	0,19263
64013	51931/268307	0,19355
64014	51931/268225	0,19361
64015	51931/269490	0,19270
64016	51931/269121	0,19297
64017	51931/268884	0,19314
64018	51931/270951	0,19166
64019	51931/220791	0,23520
64020	51931/261370	0,19869
64021	51931/268864	0,19315
64022	51931/268959	0,19308
64023	51931/228280	0,22749
64024	51931/269409	0,19276
64025	51931/268346	0,19352
64026	51931/269498	0,19270
64027	51931/268352	0,19352
64028	51931/271317	0,19140
64029	51931/269612	0,19261
64030	51931/269444	0,19273
64031	51931/270928	0,19168
64032	51931/268374	0,19350
64033	51931/271370	0,19137
64034	51931/268372	0,19350
64035	51931/272306	0,19071
64036	51931/268461	0,19344
64037	51931/270973	0,19165
64038	51931/269016	0,19304
64039	51931/268213	0,19362
64040	51931/268379	0,19350
64041	51931/269066	0,19300
64042	51931/269634	0,19260
64043	51931/269393	0,19277
64044	51931/269494	0,19270
64045	51931/270867	0,19172
64046	51931/268306	0,19355
64047	51931/271446	0,19131
64048	51931/268757	0,19323
64049	51931/270872	0,19172
64050	51931/268986	0,19306
64051	51931/268352	0,19352
64052	51931/268354	0,19352
64053	51931/268357	0,19351
64054	51931/269648	0,19259
64055	51931/269238	0,19288
64056	51931/269457	0,19272
64057	51931/270722	0,19182
64058	51931/269574	0,19264
64059	51931/268296	0,19356
64060	51931/268794	0,19320
64061	51931/268799	0,19320
64062	51931/268917	0,19311
64063	51931/270856	0,19173
64064	51931/270769	0,19179
64065	51931/269830	0,19246
64066	51931/270894	0,19170
64067	51931/268235	0,19360
64068	51931/220629	0,23538
64069	51931/269643	0,19259
64070	51931/271197	0,19149
64071	51931/270979	0,19164
64072	51931/268222	0,19361
64073	51931/270701	0,19184
64074	51931/269955	0,19237
64075	51931/272056	0,19088
64076	51931/268729	0,19325
64077	51931/269548	0,19266
64078	51931/269219	0,19290
64079	51931/269125	0,19296
64080	51931/269550	0,19266
64081	51931/271344	0,19138
64082	51931/269620	0,19261
64083	51931/270871	0,19172
64084	51931/269198	0,19291
64085	51931/270804	0,19177
64086	51931/268777	0,19321
64087	51931/269538	0,19267
64088	51931/269641	0,19259
64089	51931/268402	0,19348
64090	51931/271538	0,19125
