Vertex Id	Closeness centrality as fraction	Closeness centrality
6458	51931/215576	0,24089
6459	51931/215570	0,24090
6460	51931/215577	0,24089
6461	51931/222825	0,23306
6462	51931/222551	0,23334
6463	51931/222803	0,23308
6464	51931/222821	0,23306
6465	51931/172045	0,30185
6466	51931/172042	0,30185
6467	51931/172041	0,30185
6468	51931/222800	0,23308
6469	51931/215571	0,24090
6470	51931/215570	0,24090
6471	51931/215820	0,24062
6472	51931/171946	0,30202
6473	51931/172034	0,30186
6474	51931/175990	0,29508
6475	51931/222819	0,23306
6476	51931/222809	0,23307
6477	51931/171959	0,30200
6478	51931/172041	0,30185
6479	51931/222559	0,23334
6480	51931/172042	0,30185
6481	51931/172047	0,30184
6482	51931/215569	0,24090
6483	51931/215822	0,24062
6484	51931/215573	0,24090
6485	51931/222552	0,23334
6486	51931/222869	0,23301
6487	51931/222807	0,23308
6488	51931/215578	0,24089
6489	51931/222803	0,23308
6490	51931/175991	0,29508
6491	51931/215570	0,24090
6492	51931/222805	0,23308
6493	51931/222555	0,23334
6494	51931/222808	0,23308
6495	51931/215569	0,24090
6496	51931/171018	0,30366
6497	51931/171000	0,30369
6498	51931/171009	0,30367
6499	51931/175995	0,29507
6500	51931/214609	0,24198
6501	51931/171089	0,30353
6502	51931/172042	0,30185
6503	51931/215571	0,24090
6504	51931/222555	0,23334
6505	51931/172046	0,30184
6506	51931/171959	0,30200
6507	51931/176031	0,29501
6508	51931/215573	0,24090
6509	51931/222551	0,23334
6510	51931/171015	0,30366
6511	51931/214632	0,24195
31941	51931/187390	0,27713
31942	51931/222186	0,23373
31943	51931/236598	0,21949
31946	51931/288152	0,18022
31947	51931/271031	0,19161
31949	51931/289183	0,17958
31950	51931/236693	0,21940
31953	51931/271056	0,19159
31954	51931/322986	0,16078
31955	51931/289256	0,17953
31956	51931/271141	0,19153
31958	51931/289256	0,17953
31959	51931/236691	0,21940
31960	51931/288621	0,17993
31961	51931/289183	0,17958
31962	51931/237648	0,21852
31964	51931/289183	0,17958
31965	51931/272419	0,19063
31966	51931/324349	0,16011
31967	51931/339870	0,15280
31968	51931/237672	0,21850
31969	51931/289602	0,17932
31970	51931/237683	0,21849
31972	51931/288447	0,18004
31973	51931/288099	0,18025
31974	51931/236897	0,21921
31975	51931/228322	0,22745
31976	51931/237484	0,21867
31977	51931/236589	0,21950
31978	51931/288519	0,17999
31979	51931/237704	0,21847
31981	51931/272393	0,19065
31982	51931/324323	0,16012
31983	51931/236590	0,21950
31985	51931/237672	0,21850
31987	51931/236712	0,21938
31989	51931/237650	0,21852
31990	51931/289580	0,17933
31991	51931/271106	0,19155
31993	51931/272345	0,19068
31994	51931/322894	0,16083
31995	51931/271094	0,19156
31997	51931/237590	0,21857
31999	51931/237663	0,21851
32001	51931/237546	0,21861
32002	51931/289476	0,17940
32003	51931/271109	0,19155
32004	51931/323039	0,16076
32005	51931/236671	0,21942
32006	51931/288601	0,17994
32007	51931/271139	0,19153
32008	51931/323069	0,16074
32009	51931/237566	0,21860
32011	51931/237554	0,21861
32012	51931/289484	0,17939
32013	51931/272420	0,19063
32015	51931/236689	0,21941
32017	51931/236704	0,21939
32019	51931/236557	0,21953
32021	51931/236570	0,21952
32022	51931/288500	0,18000
32023	51931/272330	0,19069
32025	51931/237638	0,21853
32026	51931/289568	0,17934
32027	51931/271042	0,19160
32028	51931/322972	0,16079
32029	51931/237562	0,21860
32030	51931/289492	0,17939
32031	51931/237626	0,21854
32033	51931/272321	0,19070
32034	51931/324251	0,16016
32035	51931/271131	0,19153
32036	51931/323061	0,16075
32037	51931/236568	0,21952
32039	51931/237547	0,21861
32041	51931/271150	0,19152
32042	51931/323080	0,16074
32043	51931/236581	0,21951
32044	51931/288511	0,18000
32045	51931/271035	0,19160
32046	51931/322965	0,16079
32047	51931/236655	0,21944
32048	51931/288332	0,18011
32049	51931/288404	0,18006
32050	51931/272319	0,19070
32051	51931/236468	0,21961
32052	51931/271055	0,19159
32053	51931/236586	0,21950
32054	51931/237580	0,21858
32055	51931/237674	0,21850
32056	51931/272353	0,19068
32058	51931/237554	0,21861
32059	51931/289484	0,17939
32060	51931/271135	0,19153
32061	51931/323065	0,16074
32062	51931/236682	0,21941
32063	51931/288612	0,17993
32064	51931/237568	0,21859
32066	51931/271152	0,19152
32067	51931/323082	0,16074
32068	51931/237649	0,21852
32070	51931/237558	0,21860
32071	51931/289488	0,17939
32072	51931/236581	0,21951
32073	51931/288511	0,18000
32074	51931/272401	0,19064
32075	51931/324331	0,16012
32076	51931/271136	0,19153
32078	51931/236693	0,21940
32079	51931/288623	0,17993
32080	51931/236583	0,21950
32081	51931/288513	0,18000
32082	51931/272414	0,19063
32083	51931/324344	0,16011
32084	51931/236587	0,21950
32085	51931/288517	0,17999
32086	51931/271144	0,19153
32087	51931/323074	0,16074
32088	51931/237583	0,21858
32090	51931/237550	0,21861
32092	51931/236674	0,21942
32093	51931/288604	0,17994
32094	51931/237664	0,21851
32096	51931/236661	0,21943
32097	51931/288591	0,17995
32098	51931/271036	0,19160
32100	51931/272342	0,19068
32102	51931/236595	0,21949
32104	51931/271020	0,19161
32106	51931/237567	0,21860
32108	51931/272333	0,19069
32110	51931/271050	0,19159
32111	51931/322980	0,16079
32112	51931/272408	0,19064
32113	51931/324338	0,16011
32114	51931/237564	0,21860
32116	51931/272400	0,19064
32117	51931/324330	0,16012
32118	51931/237548	0,21861
32120	51931/236584	0,21950
32122	51931/237547	0,21861
32124	51931/271132	0,19153
32125	51931/323062	0,16075
32126	51931/271133	0,19153
32128	51931/236577	0,21951
32129	51931/288507	0,18000
32130	51931/271112	0,19155
32132	51931/271131	0,19153
32133	51931/323061	0,16075
32134	51931/271111	0,19155
32136	51931/272301	0,19071
32138	51931/236607	0,21948
32139	51931/288537	0,17998
32140	51931/237565	0,21860
32141	51931/289495	0,17938
32142	51931/272332	0,19069
32143	51931/324262	0,16015
32144	51931/272342	0,19068
32145	51931/324272	0,16015
32146	51931/272307	0,19071
32148	51931/236687	0,21941
32150	51931/271029	0,19161
32151	51931/322959	0,16080
32152	51931/272410	0,19064
32154	51931/271032	0,19160
32155	51931/322962	0,16080
32156	51931/272340	0,19068
32157	51931/324270	0,16015
32158	51931/237563	0,21860
32160	51931/237644	0,21852
32162	51931/271135	0,19153
32164	51931/237636	0,21853
32166	51931/237644	0,21852
32167	51931/289574	0,17934
32168	51931/272420	0,19063
32170	51931/236674	0,21942
32171	51931/288604	0,17994
32172	51931/272320	0,19070
32173	51931/324250	0,16016
32174	51931/237549	0,21861
32175	51931/289479	0,17939
32176	51931/271039	0,19160
32178	51931/271079	0,19157
32179	51931/271086	0,19157
32180	51931/288284	0,18014
32181	51931/288341	0,18010
32182	51931/288339	0,18010
32183	51931/236615	0,21947
32184	51931/272325	0,19069
32185	51931/237650	0,21852
32186	51931/237593	0,21857
32187	51931/237572	0,21859
32188	51931/271063	0,19158
32189	51931/288462	0,18003
32190	51931/271014	0,19162
32191	51931/272432	0,19062
32192	51931/324362	0,16010
32193	51931/237646	0,21852
32194	51931/289576	0,17933
32195	51931/236679	0,21942
32197	51931/272414	0,19063
32198	51931/324344	0,16011
32199	51931/237658	0,21851
32200	51931/289588	0,17933
32201	51931/272306	0,19071
32202	51931/324236	0,16016
32203	51931/272318	0,19070
32204	51931/324248	0,16016
32205	51931/271056	0,19159
32207	51931/271017	0,19162
32209	51931/236664	0,21943
32211	51931/271113	0,19155
32212	51931/323043	0,16076
32213	51931/272351	0,19068
32214	51931/324281	0,16014
32215	51931/236663	0,21943
32217	51931/236668	0,21943
32219	51931/236659	0,21943
32221	51931/237636	0,21853
32223	51931/237559	0,21860
32224	51931/289489	0,17939
32225	51931/236663	0,21943
32226	51931/288593	0,17995
32227	51931/272309	0,19071
32229	51931/237642	0,21853
32230	51931/289572	0,17934
32231	51931/271113	0,19155
32233	51931/237666	0,21850
32235	51931/237651	0,21852
32236	51931/289581	0,17933
32237	51931/237662	0,21851
32239	51931/272320	0,19070
32240	51931/324250	0,16016
32241	51931/271097	0,19156
32243	51931/236603	0,21949
32244	51931/288533	0,17998
32245	51931/237547	0,21861
32246	51931/289477	0,17940
32247	51931/237648	0,21852
32249	51931/272425	0,19062
32251	51931/271130	0,19154
32253	51931/236564	0,21952
32255	51931/271090	0,19156
32256	51931/323020	0,16077
32257	51931/272339	0,19069
32258	51931/324269	0,16015
32259	51931/271049	0,19159
32261	51931/237671	0,21850
32263	51931/271119	0,19154
32265	51931/272411	0,19063
32266	51931/324341	0,16011
32267	51931/237652	0,21852
32268	51931/289582	0,17933
32269	51931/272409	0,19064
32271	51931/236563	0,21952
32273	51931/237643	0,21853
32275	51931/237563	0,21860
32277	51931/272414	0,19063
32278	51931/324344	0,16011
32279	51931/236568	0,21952
32280	51931/288498	0,18000
32281	51931/271102	0,19156
32282	51931/323032	0,16076
32283	51931/237639	0,21853
32285	51931/237551	0,21861
32286	51931/236663	0,21943
32287	51931/288593	0,17995
32288	51931/236577	0,21951
32291	51931/272314	0,19070
32292	51931/324244	0,16016
32293	51931/236566	0,21952
32294	51931/288496	0,18001
32295	51931/237571	0,21859
32297	51931/237556	0,21861
32298	51931/289486	0,17939
32299	51931/237644	0,21852
32300	51931/289574	0,17934
32301	51931/236564	0,21952
32302	51931/272314	0,19070
32303	51931/288341	0,18010
32304	51931/288348	0,18010
32305	51931/288342	0,18010
32306	51931/271118	0,19154
32307	51931/272348	0,19068
32308	51931/236624	0,21947
32309	51931/288449	0,18004
32310	51931/236615	0,21947
32312	51931/237658	0,21851
32313	51931/289588	0,17933
32314	51931/236569	0,21952
32316	51931/271132	0,19153
32318	51931/272403	0,19064
32320	51931/237645	0,21852
32322	51931/237693	0,21848
32324	51931/237548	0,21861
32325	51931/289478	0,17940
32326	51931/271100	0,19156
32328	51931/236571	0,21952
32330	51931/236686	0,21941
32331	51931/288616	0,17993
32332	51931/272354	0,19067
32333	51931/324284	0,16014
32334	51931/271134	0,19153
32335	51931/323064	0,16075
32336	51931/237550	0,21861
32338	51931/236595	0,21949
32340	51931/237538	0,21862
32342	51931/237553	0,21861
32344	51931/236687	0,21941
32345	51931/288617	0,17993
32346	51931/236573	0,21951
32348	51931/236682	0,21941
32350	51931/237548	0,21861
32352	51931/237646	0,21852
32353	51931/289576	0,17933
32354	51931/236571	0,21952
32355	51931/288501	0,18000
32356	51931/237676	0,21849
32357	51931/289606	0,17932
32358	51931/237548	0,21861
32360	51931/272406	0,19064
32362	51931/237658	0,21851
32364	51931/236661	0,21943
32365	51931/288591	0,17995
32366	51931/236682	0,21941
32367	51931/236587	0,21950
32368	51931/288346	0,18010
32369	51931/288392	0,18007
32370	51931/288394	0,18007
32371	51931/271090	0,19156
32372	51931/237559	0,21860
32373	51931/272438	0,19062
32374	51931/322888	0,16083
32375	51931/236582	0,21951
32376	51931/288512	0,18000
32377	51931/237559	0,21860
32379	51931/236672	0,21942
32380	51931/288602	0,17994
32381	51931/237571	0,21859
32382	51931/289501	0,17938
32383	51931/272318	0,19070
32384	51931/324248	0,16016
32385	51931/272333	0,19069
32387	51931/237541	0,21862
32388	51931/289471	0,17940
32389	51931/237683	0,21849
32391	51931/272403	0,19064
32392	51931/324333	0,16012
32393	51931/271016	0,19162
32395	51931/272427	0,19062
32397	51931/236573	0,21951
32398	51931/288503	0,18000
32399	51931/237549	0,21861
32401	51931/271100	0,19156
32403	51931/272464	0,19060
32405	51931/236669	0,21942
32407	51931/236687	0,21941
32409	51931/237661	0,21851
32410	51931/289591	0,17933
32411	51931/237635	0,21853
32412	51931/289565	0,17934
32413	51931/272422	0,19063
32415	51931/271025	0,19161
32417	51931/236609	0,21948
32418	51931/288539	0,17998
32419	51931/237551	0,21861
32421	51931/236661	0,21943
32422	51931/288591	0,17995
32423	51931/237557	0,21860
32425	51931/237560	0,21860
32427	51931/272331	0,19069
32429	51931/236578	0,21951
32430	51931/288508	0,18000
32431	51931/272413	0,19063
32432	51931/324343	0,16011
32433	51931/237575	0,21859
32435	51931/237563	0,21860
32437	51931/237669	0,21850
32439	51931/237548	0,21861
32440	51931/289478	0,17940
32441	51931/237655	0,21851
32443	51931/236566	0,21952
32444	51931/288496	0,18001
32445	51931/271142	0,19153
32447	51931/237655	0,21851
32449	51931/271032	0,19160
32451	51931/236676	0,21942
32452	51931/288606	0,17994
32453	51931/236671	0,21942
32454	51931/288601	0,17994
32455	51931/237637	0,21853
32457	51931/271100	0,19156
32458	51931/323030	0,16076
32459	51931/236578	0,21951
32461	51931/271023	0,19161
32463	51931/237650	0,21852
32465	51931/236660	0,21943
32466	51931/237565	0,21860
32467	51931/288389	0,18007
32468	51931/288375	0,18008
32469	51931/288365	0,18009
32470	51931/236712	0,21938
32471	51931/272218	0,19077
32472	51931/271153	0,19152
32473	51931/323083	0,16074
32474	51931/272326	0,19069
32475	51931/324256	0,16015
32476	51931/237560	0,21860
32477	51931/289490	0,17939
32478	51931/236585	0,21950
32479	51931/288515	0,17999
32480	51931/271036	0,19160
32482	51931/271156	0,19152
32484	51931/271005	0,19162
32486	51931/237673	0,21850
32488	51931/272380	0,19066
32489	51931/324310	0,16013
32490	51931/237556	0,21861
32491	51931/289486	0,17939
32492	51931/272302	0,19071
32493	51931/324232	0,16017
32494	51931/236665	0,21943
32495	51931/288595	0,17994
32496	51931/272305	0,19071
32497	51931/324235	0,16016
32498	51931/272387	0,19065
32500	51931/237674	0,21850
32502	51931/272422	0,19063
32503	51931/324352	0,16011
32504	51931/271124	0,19154
32506	51931/272400	0,19064
32507	51931/324330	0,16012
32508	51931/272416	0,19063
32509	51931/324346	0,16011
32510	51931/271048	0,19159
32511	51931/237549	0,21861
32512	51931/288360	0,18009
32513	51931/288410	0,18006
32514	51931/288415	0,18006
32515	51931/237591	0,21857
32516	51931/270938	0,19167
32517	51931/272444	0,19061
32519	51931/271091	0,19156
32520	51931/323021	0,16077
32521	51931/237575	0,21859
32522	51931/272416	0,19063
32523	51931/324346	0,16011
32524	51931/289505	0,17938
